SMILES,res_fitness
CCNNc1ccc(N)c2c1c1c(N)c(Oc3cc(-c4cccc(N)c4-c4ccccc4)ccc3Nc3c4ccc(N)c3-c3ccc(Nc5cc(ONc6cccc(N)c6-c6ccccc6N)ccc5N)cc3-4)c3c2c13,508.89783765205885
CCNc1ccc(-c2cc(N)cc(-c3ccc(N)c(Oc4cc(-c5cccc(N)c5-c5ccc(N)cc5)ccc4N)c3)c2NCc2cc(N)cc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1,507.6507862428064
CCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c(N)cc(-c3c(N)cc(-c4ccc(N)cc4)cc3-c3ccc(O)c(O)c3-c3ccccc3)c(Nc3ccc4c(c3)-c3ccc(N)c-4c3Nc3cccc4c3N4)c12,506.9807005279394
CNCNc1c(-c2cc(-c3c(N)cccc3-c3ccc(N)c(Oc4cc(-c5cc(N)ccc5NC)ccc4N)c3)ccc2N)ccc2c1N2Cc1cc(N)ccc1ONc1cccc(N)c1-c1ccccc1N,505.5559367508399
CCNc1ccc(Oc2cccc3c2-c2ccccc2-c2c(ccc(O)c2O)-c2cc(-c4ccc(N)cc4)cc(N)c2-c2cc(N)cc-3c2Nc2cccc3c2[nH]c2cc(N)cc(Nc4ccccc4N)c23)c2c1N2,505.5103018135626
NNc1ccc(ONc2cccc(N)c2-c2ccccc2N)c(CNc2c3cc(N)c(c2-c2c4cc(N)c(Oc5cc(-c6cccc7c6-c6ccc(N)c(c6)-c6ccccc6N7)ccc5N)c2-4)Nc2cccc-3c2)c1,505.4015164889603
CC(C)CCNc1ccc(-c2cc(N)cc(-c3c4cc(N)c(Oc5cc(-c6cccc(N)c6-c6ccc(N)cc6)ccc5N)c3-4)c2NC)cc1NNNc1ccc(ONc2cccc(N)c2-c2ccccc2N)cc1,504.50867379986255
CCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1NNc1cc2c(NOc3cccc4c3Oc3cccc-4c3)cc1-2,504.13149751449987
C#CCc1cccc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccccc1NOc1cccc2c1Oc1cccc-2c1N,503.97661112722494
CCCCNNc1ccc(-c2ccc(-c3cccc4c3[nH]c3ccc(-c5c(N)cccc5Nc5ccccc5NOc5cccc(-c6ccccc6)c5N)cc3[nH]c3ccccc34)c(N)c2)c2c1Nc1cccc3c1N32,503.27848775687784
CCCNNNc1cccc(-c2c3cc(N)c(Oc4cc(-c5cccc(N)c5-c5ccccc5)ccc4Nc4c5ccc(N)c4-c4ccc(Nc6cc(ONc7cccc(N)c7-c7ccccc7)ccc6N)cc4-5)c2-3)c1,503.22375404197277
CCc1cc(N)cc(C)c1Oc1cccc2c1Nc1c(N)cc-2c(Nc2ccc3c(c2)-c2ccc(N)c-3c2Nc2cccc3c2N3)c1-c1c(N)cc(-c2ccc(N)cc2)cc1-c1ccc(O)c(O)c1-c1ccccc1,503.2068849567852
C#CCc1cc(N)cc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cccc12)-c1c(N)ccc-3c1Nc1ccccc1NOc1cccc2c1Oc1cccc-2c1N,503.0861064711748
CCCCNc1ccc(N)cc1-c1c2cc(N)c(Oc3cc(-c4cccc(N)c4-c4ccccc4)ccc3Nc3c4ccc(N)c3-c3ccc(Nc5cccc(ONc6cccc(N)c6-c6ccccc6)c5)cc3-4)c1-2,502.7786754390557
CCCc1cc(N)ccc1Oc1cccc2c1-c1ccccc1-c1c(ccc(O)c1O)-c1cccc(N)c1-c1cc(N)cc-2c1Nc1cccc(-c2ccc(N)cc2Nc2cccc3c2N3)c1NNOc1c2cccc1-2,502.2887011059802
